Date,Culture,Variety,Nombre,Poids (kg),Section
2021-07-20,Aubergine,Hansel,27,5.774,G
2021-07-21,Aubergine,Hansel,27,3.326,G
2021-07-21,Aubergine,Beatrice,42,13.302,G
2021-07-26,Aubergine,Beatrice,24,16.7,G
2021-07-26,Aubergine,Hansel,24,5.43,G
2021-07-26,Aubergine,Antigua,24,1.16,G
2021-07-28,Aubergine,Beatrice,24,20,G
2021-07-28,Aubergine,Hansel,24,4.8,G
2021-08-02,Aubergine,Beatrice,24,11.9,G
2021-08-02,Aubergine,Hansel,24,2.974,G
2021-08-03,Aubergine,Beatrice,24,1.048,G
2021-08-04,Aubergine,Beatrice,24,19.508,G
2021-08-04,Aubergine,Hansel,24,6.77,G
2021-08-04,Aubergine,Antigua,24,0.886,G
2021-08-04,Aubergine,Rosa Bianca,24,2.238,G
2021-08-06,Aubergine,Beatrice,24,7.51,G
2021-08-06,Aubergine,Hansel,24,3.26,G
2021-08-06,Aubergine,Antigua,24,0.55,G
2021-08-06,Aubergine,Rosa Bianca,24,1.068,G
2021-08-09,Aubergine,Beatrice,24,15.796,G
2021-08-09,Aubergine,Hansel,24,3.45,G
2021-08-11,Aubergine,Beatrice,24,21.342,G
2021-08-11,Aubergine,Hansel,24,5.668,G
2021-08-11,Aubergine,Antigua,24,4.754,G
2021-08-11,Aubergine,Rosa Bianca,24,4.134,G
2021-08-13,Aubergine,Beatrice,24,14.48,G
2021-08-16,Aubergine,Beatrice,24,12.45,G
2021-08-18,Aubergine,Beatrice,24,15.78,G
2021-08-18,Aubergine,Hansel,24,11.31,G
2021-08-18,Aubergine,Antigua,24,5.672,G
2021-08-18,Aubergine,Rosa Bianca,24,5.616,G
2021-08-20,Aubergine,Hansel,24,4.974,G
2021-08-23,Aubergine,Beatrice,24,31.008,G
2021-08-25,Aubergine,Hansel,24,3.442,G
2021-08-25,Aubergine,Antigua,24,2.676,G
2021-08-25,Aubergine,Rosa Bianca,24,8.882,G
2021-08-25,Aubergine,Beatrice,24,12.213,G
